                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8396,                 4.6868,                 1.9291,                0.47808,                0.43197,                0.49946,                0.23635,                 1.8841,                 2.3351,                 2.2391,             0.00022065,             0.00022065,             0.00022065
                      2,                  1.747,                 2.3144,                 1.7763,                0.43079,                0.48352,                0.40964,                0.17723,                 2.0756,                 2.7235,                 2.4148,              0.0004386,              0.0004386,              0.0004386
                      3,                 1.8129,                 2.1122,                 1.8119,                0.37243,                0.48945,                 0.4659,                0.21291,                 1.8576,                 2.3878,                 2.0538,             0.00065214,             0.00065214,             0.00065214
                      4,                 1.7686,                 1.9205,                 1.7734,                0.56559,                0.46447,                0.51491,                  0.248,                 1.9083,                 2.0937,                 2.0819,             0.00064719,             0.00064719,             0.00064719
                      5,                  1.696,                 1.7987,                 1.7421,                0.60532,                0.69225,                0.72488,                 0.3705,                 1.8047,                 1.4483,                 1.9596,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.6715,                  1.658,                 1.7014,                0.64592,                0.67094,                0.68498,                0.33213,                 1.7748,                 1.7197,                 1.9699,             0.00064059,             0.00064059,             0.00064059
                      7,                 1.6512,                 1.6357,                 1.7063,                0.62182,                0.62725,                0.65124,                 0.3322,                 1.7571,                 1.8428,                 1.9649,             0.00063398,             0.00063398,             0.00063398
                      8,                 1.6534,                 1.5762,                 1.6851,                0.74734,                0.71767,                0.78212,                0.38271,                 1.8563,                 1.3289,                 1.9917,             0.00062738,             0.00062738,             0.00062738
                      9,                 1.6306,                 1.4813,                  1.688,                0.82019,                0.68502,                0.81181,                0.40278,                 1.7939,                 1.2247,                 1.9323,             0.00062078,             0.00062078,             0.00062078
                     10,                 1.6112,                 1.4854,                 1.6548,                0.62517,                0.62839,                0.67154,                0.36048,                 1.8243,                 1.5843,                 1.9847,             0.00061417,             0.00061417,             0.00061417
                     11,                 1.5896,                  1.402,                 1.6369,                0.75416,                0.74095,                0.79835,                0.36873,                 1.9292,                 1.3461,                 2.0354,             0.00060757,             0.00060757,             0.00060757
                     12,                 1.5889,                 1.4094,                 1.6454,                0.80972,                 0.7449,                0.84256,                0.42262,                 1.7926,                 1.1093,                 1.9147,             0.00060097,             0.00060097,             0.00060097
                     13,                 1.5675,                 1.3544,                 1.6178,                0.75419,                0.74779,                0.80482,                0.39942,                 1.8665,                 1.2762,                 2.0225,             0.00059436,             0.00059436,             0.00059436
                     14,                 1.5608,                 1.3539,                 1.6186,                0.80528,                0.75863,                0.83003,                0.42817,                 1.7579,                 1.1437,                 1.9511,             0.00058776,             0.00058776,             0.00058776
                     15,                 1.5388,                 1.3243,                 1.6123,                0.77882,                0.72083,                 0.8144,                 0.4292,                  1.767,                 1.1705,                  1.922,             0.00058116,             0.00058116,             0.00058116
